ID,Name,Type,Year,Category (Saffir-Simpson Scale),Wind (knots),Area,Gender of Name,Month(s),Start Date,End Date,Duration (days),Page url
Agni - Cyclone (2004),Agni,Cyclone,2004,1,65,Northern Indian,Female,"November, December",28/11/2004,3/12/2004,6,http://weather.unisys.com/hurricane/n_indian/2004H/index.php
Aila - Cyclone (2009),Aila,Cyclone,2009,1,65,Northern Indian,Female,May,24/05/2009,25/05/2009,2,http://weather.unisys.com/hurricane/n_indian/2009H/index.php
Laila - Cyclone (2010),Laila,Cyclone,2010,1,65,Northern Indian,Female,May,17/05/2010,21/05/2010,5,http://weather.unisys.com/hurricane/n_indian/2010H/index.php
Mala - Cyclone (2006),Mala,Cyclone,2006,4,115,Northern Indian,Female,April,24/04/2006,29/04/2006,6,http://weather.unisys.com/hurricane/n_indian/2006H/index.php
Nargis - Cyclone (2008),Nargis,Cyclone,2008,4,115,Northern Indian,Female,"April, May",27/04/2008,3/05/2008,7,http://weather.unisys.com/hurricane/n_indian/2008H/index.php
Phet - Cyclone (2010),Phet,Cyclone,2010,4,125,Northern Indian,Female,"May, June",31/05/2010,6/06/2010,7,http://weather.unisys.com/hurricane/n_indian/2010H/index.php
Adeline juliet - Cyclone (2005),Adeline Juliet,Cyclone,2005,4,130,Southern Indian,Female,April,5/04/2005,12/04/2005,8,http://weather.unisys.com/hurricane/s_indian/2005H/index.php
Alenga - Cyclone (2011),Alenga,Cyclone,2011,2,90,Southern Indian,Female,December,5/12/2011,9/12/2011,5,http://weather.unisys.com/hurricane/s_indian/2011H/index.php
Amara - Cyclone (2013),Amara,Cyclone,2013,4,130,Southern Indian,Female,December,16/12/2013,23/12/2013,8,http://weather.unisys.com/hurricane/s_indian/2013/index.php
Anais - Cyclone (2012),Anais,Cyclone,2012,3,55,Southern Indian,Female,October,12/10/2012,17/10/2012,6,http://weather.unisys.com/hurricane/s_indian/2012H/index.php
Anja - Cyclone (2009),Anja,Cyclone,2009,4,115,Southern Indian,Female,November,14/11/2009,18/11/2009,5,http://weather.unisys.com/hurricane/s_indian/2009H/index.php
Babiola - Cyclone (2000),Babiola,Cyclone,2000,2,90,Southern Indian,Female,January,5/01/2000,11/01/2000,7,http://weather.unisys.com/hurricane/s_indian/2000H/index.php
Bejisa - Cyclone (2013),Bejisa,Cyclone,2013,3,105,Southern Indian,Female,December,29/12/2013,31/12/2013,3,http://weather.unisys.com/hurricane/s_indian/2013/index.php
Benilde - Cyclone (2011),Benilde,Cyclone,2011,2,90,Southern Indian,Female,December,28/12/2011,31/12/2011,4,http://weather.unisys.com/hurricane/s_indian/2011H/index.php
Benilde - Cyclone (2012),Benilde,Cyclone,"2012, 2013",,35,Southern Indian,Female,"December, January",28/12/2012,4/01/2013,8,http://weather.unisys.com/hurricane/s_indian/2012H/index.php
Bessi bako - Cyclone (2001),Bessi bako,Cyclone,2001,1,75,Southern Indian,Female,December,1/12/2001,3/12/2001,3,http://weather.unisys.com/hurricane/s_indian/2001H/index.php
Bianca - Cyclone (2011),Bianca,Cyclone,2011,4,115,Southern Indian,Female,January,25/01/2011,29/01/2011,5,http://weather.unisys.com/hurricane/s_indian/2011H/index.php
Bindu - Cyclone (2001),Bindu,Cyclone,2001,4,115,Southern Indian,Female,January,7/01/2001,16/01/2001,10,http://weather.unisys.com/hurricane/s_indian/2001H/index.php
Bingiza - Cyclone (2011),Bingiza,Cyclone,2011,3,100,Southern Indian,Female,February,9/02/2011,17/02/2011,9,http://weather.unisys.com/hurricane/s_indian/2011H/index.php
Boura - Cyclone (2002),Boura,Cyclone,2002,1,75,Southern Indian,Female,November,15/11/2002,22/11/2002,8,http://weather.unisys.com/hurricane/s_indian/2002H/index.php
Carina - Cyclone (2006),Carina,Cyclone,2006,4,130,Southern Indian,Female,"February, March",23/02/2006,2/03/2006,8,http://weather.unisys.com/hurricane/s_indian/2006H/index.php
Christine - Cyclone (2013),Christine,Cyclone,2013,2,85,Southern Indian,Female,December,28/12/2013,30/12/2013,3,http://weather.unisys.com/hurricane/s_indian/2013/index.php
Claudia - Cyclone (2012),Claudia,Cyclone,2012,3,45,Southern Indian,Female,December,6/12/2012,13/12/2012,8,http://weather.unisys.com/hurricane/s_indian/2012H/index.php
Cleo - Cyclone (2009),Cleo,Cyclone,2009,4,115,Southern Indian,Female,December,7/12/2009,14/12/2009,8,http://weather.unisys.com/hurricane/s_indian/2009H/index.php
Connie - Cyclone (2000),Connie,Cyclone,2000,4,115,Southern Indian,Female,"January, February",25/01/2000,2/02/2000,9,http://weather.unisys.com/hurricane/s_indian/2000H/index.php
Crystal - Cyclone (2002),Crystal,Cyclone,2002,2,90,Southern Indian,Female,December,24/12/2002,29/12/2002,6,http://weather.unisys.com/hurricane/s_indian/2002H/index.php
Dera - Cyclone (2001),Dera,Cyclone,2001,1,75,Southern Indian,Female,March,9/03/2001,13/03/2001,5,http://weather.unisys.com/hurricane/s_indian/2001H/index.php
Dianne - Cyclone (2011),Dianne,Cyclone,2011,2,85,Southern Indian,Female,February,16/02/2011,22/02/2011,7,http://weather.unisys.com/hurricane/s_indian/2011H/index.php
Dianne jery - Cyclone (2002),Dianne jery,Cyclone,2002,3,105,Southern Indian,Female,April,8/04/2002,11/04/2002,4,http://weather.unisys.com/hurricane/s_indian/2002H/index.php
Dina - Cyclone (2002),Dina,Cyclone,2002,4,130,Southern Indian,Female,January,17/01/2002,24/01/2002,8,http://weather.unisys.com/hurricane/s_indian/2002H/index.php
Dora - Cyclone (2007),Dora,Cyclone,2007,4,115,Southern Indian,Female,"January, February",28/01/2007,9/02/2007,13,http://weather.unisys.com/hurricane/s_indian/2007H/index.php
Ethel - Cyclone (2012),Ethel,Cyclone,2012,4,120,Southern Indian,Female,January,19/01/2012,22/01/2012,4,http://weather.unisys.com/hurricane/s_indian/2012H/index.php
Fame - Cyclone (2008),Fame,Cyclone,2008,1,80,Southern Indian,Female,"January, February",25/01/2008,1/02/2008,8,http://weather.unisys.com/hurricane/s_indian/2008H/index.php
Francesca - Cyclone (2002),Francesca,Cyclone,2002,4,115,Southern Indian,Female,February,1/02/2002,11/02/2002,11,http://weather.unisys.com/hurricane/s_indian/2002H/index.php
Gamede - Cyclone (2007),Gamede,Cyclone,2007,3,105,Southern Indian,Female,"February, March",21/02/2007,2/03/2007,10,http://weather.unisys.com/hurricane/s_indian/2007H/index.php
Gelane - Cyclone (2010),Gelane,Cyclone,2010,4,125,Southern Indian,Female,February,16/02/2010,21/02/2010,6,http://weather.unisys.com/hurricane/s_indian/2010H/index.php
Giovanna - Cyclone (2012),Giovanna,Cyclone,2012,4,50,Southern Indian,Female,February,9/02/2012,21/02/2012,13,http://weather.unisys.com/hurricane/s_indian/2012H/index.php
Glenda - Cyclone (2006),Glenda,Cyclone,2006,5,140,Southern Indian,Female,March,27/03/2006,30/03/2006,4,http://weather.unisys.com/hurricane/s_indian/2006H/index.php
Gloria - Cyclone (2000),Gloria,Cyclone,2000,1,65,Southern Indian,Female,"February, March",28/02/2000,5/03/2000,7,http://weather.unisys.com/hurricane/s_indian/2000H/index.php
Gula - Cyclone (2008),Gula,Cyclone,2008,2,85,Southern Indian,Female,"January, February",27/01/2008,2/02/2008,7,http://weather.unisys.com/hurricane/s_indian/2008H/index.php
Haruna - Cyclone (2013),Haruna,Cyclone,2013,3,100,Southern Indian,Female,February,19/02/2013,25/02/2013,7,http://weather.unisys.com/hurricane/s_indian/2013/index.php
Hudah - Cyclone (2000),Hudah,Cyclone,2000,4,125,Southern Indian,Female,"March, April",24/03/2000,9/04/2000,17,http://weather.unisys.com/hurricane/s_indian/2000H/index.php
Ikala - Cyclone (2002),Ikala,Cyclone,2002,3,105,Southern Indian,Female,March,24/03/2002,28/03/2002,5,http://weather.unisys.com/hurricane/s_indian/2002H/index.php
Ilsa - Cyclone (2009),Ilsa,Cyclone,2009,3,100,Southern Indian,Female,March,18/03/2009,23/03/2009,6,http://weather.unisys.com/hurricane/s_indian/2009H/index.php
Imani - Cyclone (2010),Imani,Cyclone,2010,1,70,Southern Indian,Female,March,22/03/2010,26/03/2010,5,http://weather.unisys.com/hurricane/s_indian/2010H/index.php
Imelda - Cyclone (2013),Imelda,Cyclone,2013,2,85,Southern Indian,Female,April,6/04/2013,16/04/2013,11,http://weather.unisys.com/hurricane/s_indian/2013/index.php
Ingrid - Cyclone (2005) - Southern India,Ingrid,Cyclone,2005,4,135,Southern Indian,Female,March,12/03/2005,15/03/2005,4,http://weather.unisys.com/hurricane/s_indian/2005H/index.php
Izilda - Cyclone (2009),Izilda,Cyclone,2009,1,65,Southern Indian,Female,March,24/03/2009,26/03/2009,3,http://weather.unisys.com/hurricane/s_indian/2009H/index.php
Jade - Cyclone (2009),Jade,Cyclone,2009,1,65,Southern Indian,Female,April,4/04/2009,10/04/2009,7,http://weather.unisys.com/hurricane/s_indian/2009H/index.php
Jaya - Cyclone (2007),Jaya,Cyclone,2007,3,110,Southern Indian,Female,"March, April",30/03/2007,4/04/2007,6,http://weather.unisys.com/hurricane/s_indian/2007H/index.php
Jokwe - Cyclone (2008),Jokwe,Cyclone,2008,3,100,Southern Indian,Female,March,5/03/2008,14/03/2008,10,http://weather.unisys.com/hurricane/s_indian/2008H/index.php
Kara - Cyclone (2007),Kara,Cyclone,2007,1,80,Southern Indian,Female,March,25/03/2007,27/03/2007,3,http://weather.unisys.com/hurricane/s_indian/2007H/index.php
Kesiny - Cyclone (2002),Kesiny,Cyclone,2002,1,65,Southern Indian,Female,May,3/05/2002,11/05/2002,9,http://weather.unisys.com/hurricane/s_indian/2002H/index.php
Kirrily - Cyclone (2000),Kirrily,Cyclone,2000,1,80,Southern Indian,Female,"January, February",27/01/2000,1/02/2000,6,http://weather.unisys.com/hurricane/s_indian/2000H/index.php
Laurence - Cyclone (2009),Laurence,Cyclone,2009,4,115,Southern Indian,Female,December,13/12/2009,21/12/2009,9,http://weather.unisys.com/hurricane/s_indian/2009H/index.php
Lua - Cyclone (2012),Lua,Cyclone,2012,2,35,Southern Indian,Female,March,13/03/2012,17/03/2012,5,http://weather.unisys.com/hurricane/s_indian/2012H/index.php
Monica - Cyclone (2006) - Southern Indian,Monica,Cyclone,2006,5,155,Southern Indian,Female,April,24/04/2006,24/04/2006,1,http://weather.unisys.com/hurricane/s_indian/2006H/index.php
Narelle - Cyclone (2013),Narelle,Cyclone,2013,4,115,Southern Indian,Female,January,7/01/2013,14/01/2013,8,http://weather.unisys.com/hurricane/s_indian/2013/index.php
Ophelia - Cyclone (2008),Ophelia,Cyclone,2008,1,65,Southern Indian,Female,March,1/03/2008,6/03/2008,6,http://weather.unisys.com/hurricane/s_indian/2008H/index.php
Rosita - Cyclone (2000),Rosita,Cyclone,2000,4,125,Southern Indian,Female,April,17/04/2000,20/04/2000,4,http://weather.unisys.com/hurricane/s_indian/2000H/index.php
Victoria - Cyclone (2013),Victoria,Cyclone,2013,1,80,Southern Indian,Female,April,9/04/2013,12/04/2013,4,http://weather.unisys.com/hurricane/s_indian/2013/index.php
Ami - Cyclone (2003),Ami,Cyclone,2003,3,110,Southern Pacific,Female,January,11/01/2003,14/01/2003,4,http://weather.unisys.com/hurricane/s_pacific/2003/index.php
Atu - Cyclone (2011),Atu,Cyclone,2011,4,115,Southern Pacific,Female,February,18/02/2011,23/02/2011,6,http://weather.unisys.com/hurricane/s_pacific/2011/index.php
Becky - Cyclone (2007),Becky,Cyclone,2007,1,70,Southern Pacific,Female,March,26/03/2007,29/03/2007,4,http://weather.unisys.com/hurricane/s_pacific/2007/index.php
Bune - Cyclone (2011),Bune,Cyclone,2011,1,75,Southern Pacific,Female,March,23/03/2011,28/03/2011,6,http://weather.unisys.com/hurricane/s_pacific/2011/index.php
Claudia - Cyclone (2002),Claudia,Cyclone,2002,1,75,Southern Pacific,Female,February,11/02/2002,13/02/2002,3,http://weather.unisys.com/hurricane/s_pacific/2002/index.php
Debbie - Cyclone (2003),Debbie,Cyclone,2003,1,65,Southern Pacific,Female,December,18/12/2003,21/12/2003,4,http://weather.unisys.com/hurricane/s_pacific/2003/index.php
Erica - Cyclone (2003),Erica,Cyclone,2003,5,140,Southern Pacific,Female,March,4/03/2003,15/03/2003,12,http://weather.unisys.com/hurricane/s_pacific/2003/index.php
Eseta - Cyclone (2003),Eseta,Cyclone,2003,3,110,Southern Pacific,Female,March,10/03/2003,14/03/2003,5,http://weather.unisys.com/hurricane/s_pacific/2003/index.php
Freda - Cyclone (2013),Freda,Cyclone,2013,1,70,Southern Pacific,Female,January,1/01/2013,2/01/2013,2,http://weather.unisys.com/hurricane/s_pacific/2013/index.php
Freda - Cyclone (2012),Freda,Cyclone,2012,3,105,Southern Pacific,Female,December,28/12/2012,31/12/2012,4,http://weather.unisys.com/hurricane/s_pacific/2012/index.php
Funa - Cyclone (2008),Funa,Cyclone,2008,3,105,Southern Pacific,Female,January,16/01/2008,20/01/2008,5,http://weather.unisys.com/hurricane/s_pacific/2008/index.php
Gina - Cyclone (2003),Gina,Cyclone,2003,2,90,Southern Pacific,Female,June,4/06/2003,8/06/2003,5,http://weather.unisys.com/hurricane/s_pacific/2003/index.php
Ingrid - Cyclone (2005) - Southern Pacific,Ingrid,Cyclone,2005,4,130,Southern Pacific,Female,March,6/03/2005,11/03/2005,6,http://weather.unisys.com/hurricane/s_pacific/2005/index.php
Iris - Cyclone (2000),Iris,Cyclone,2000,1,65,Southern Pacific,Female,January,8/01/2000,10/01/2000,3,http://weather.unisys.com/hurricane/s_pacific/2000/index.php
